Datetime,Returns,SMA_10,SMA_50,Vol_10,Actual,Predicted
2026-08-17 15:30:00+00:00,-0.0007928830153316468,775.4811767578125,776.5129870605468,0.0005017981432357526,1,0
2026-08-17 15:45:00+00:00,0.0002580469788817652,775.3811767578125,776.4885864257812,0.0005082553699436046,1,0
2026-08-17 16:00:00+00:00,0.00010320790804030366,775.3626770019531,776.4673864746094,0.00042155100532842747,0,0
2026-08-17 16:15:00+00:00,-0.00011610675398099346,775.3626220703125,776.4391857910156,0.0004073264204069688,0,0
2026-08-17 16:30:00+00:00,-0.000451412498363446,775.290625,776.3941857910156,0.0003921210221770452,0,0
2026-08-17 16:45:00+00:00,-0.000335522446648584,775.2126220703125,776.3455859375,0.00039650170118948007,0,0
2026-08-17 17:00:00+00:00,-0.0004776102657686465,775.1315002441406,776.2993859863282,0.0004005263294980574,0,0
2026-08-17 17:15:00+00:00,-0.0009427496365171928,774.9625,776.2360864257812,0.00046302063926406635,1,1
2026-08-17 17:30:00+00:00,0.00025855399908558674,774.8075012207031,776.1700866699218,0.0004791309781753621,0,0
2026-08-17 17:45:00+00:00,-0.000478244641025416,774.5769958496094,776.0986865234376,0.00041677243285525954,1,0
2026-08-17 18:00:00+00:00,0.0003620709670144606,774.4359985351563,776.02013671875,0.00042419419216886,0,0
2026-08-17 18:15:00+00:00,-0.0001292191777353402,774.2650024414063,775.9371374511719,0.0003963207836396843,1,0
2026-08-17 18:30:00+00:00,1.286046888315795e-05,774.0869995117188,775.8499365234375,0.00038907993716985427,0,0
2026-08-17 18:45:00+00:00,-8.402590932998777e-05,773.9114990234375,775.7600341796875,0.00039025145920621785,0,0
2026-08-17 19:00:00+00:00,-0.0004200859471861218,773.7385009765625,775.6698352050781,0.0003883668710364351,0,0
2026-08-17 19:15:00+00:00,-0.00011643260292859559,773.5825012207031,775.5766345214844,0.00038751756700180324,0,0
2026-08-17 19:30:00+00:00,-0.00018110338540178184,773.4494995117187,775.4686340332031,0.00037519022423831874,0,0
2026-08-17 19:45:00+00:00,-0.00038809257749061743,773.3594970703125,775.3536340332031,0.0002766075692395486,0,0
2026-08-18 13:30:00+00:00,-0.0050861840775399125,772.856494140625,775.1630334472657,0.0015772848355796116,0,1
2026-08-18 13:45:00+00:00,-0.0003642657520325221,772.3624938964844,774.9842333984375,0.0015790814802907796,0,0
2026-08-18 14:00:00+00:00,-0.0004944159982056551,771.8024963378906,774.8034338378907,0.0015415043981029742,1,0
2026-08-18 14:15:00+00:00,0.0007420305812273487,771.3094909667968,774.6418334960938,0.0016023457371484228,0,0
2026-08-18 14:30:00+00:00,-0.00033818429416232476,770.7894958496094,774.4807336425781,0.0015903030323625904,0,0
