symbol,segment,exposure_group,name
HAS,equity,,
TW,equity,,
IXUS,equity,,
TRU,equity,,
VTRS,equity,,
TRI,equity,,
IVE,equity,,
EPAM,equity,,
GOVT,equity,,
BSV,equity,,
ESI,equity,,
INVH,equity,,
SSNC,equity,,
IUSB,equity,,
RBC,equity,,
PRIM,equity,,
TRMB,equity,,
GLXY,equity,,
ASHR,equity,,
IWO,equity,,
MDGL,equity,,
CYTK,equity,,
ASTX,equity,,
H,equity,,
AVEM,equity,,
EXR,equity,,
FNGU,equity,,
RGLD,equity,,
FCNCA,equity,,
MGM,equity,,
BAH,equity,,
RGEN,equity,,
GDXU,equity,,
CSL,equity,,
IONS,equity,,
CPB,equity,,
SEDG,equity,,
TSLQ,equity,,
URA,equity,,
IYW,equity,,
BRK-A,equity,,
AVUV,equity,,
GEN,equity,,
UDR,equity,,
BKLN,equity,,
AIQ,equity,,
DYNF,equity,,
ABVX,equity,,
MSTZ,equity,,
MEDP,equity,,
TOL,equity,,
SPYI,equity,,
VONG,equity,,
EQH,equity,,
LFUS,equity,,
KRMN,equity,,
BUD,equity,,
HII,equity,,
IFF,equity,,
GAP,equity,,
AMRZ,equity,,
IHI,equity,,
J,equity,,
NVDX,equity,,
AMCR,equity,,
KBWB,equity,,
LITX,equity,,
TPL,equity,,
OLLI,equity,,
JBLU,equity,,
ARWR,equity,,
IEI,equity,,
UHS,equity,,
SPDW,equity,,
BTDR,equity,,
ALC,equity,,
DOC,equity,,
FND,equity,,
ALLY,equity,,
WYNN,equity,,
MINT,equity,,
DRIP,equity,,
ARMK,equity,,
Z,equity,,
ALK,equity,,
INFQ,equity,,
ASND,equity,,
VB,equity,,
VSXY,equity,,
BAX,equity,,
BALL,equity,,
MAA,equity,,
FRSH,equity,,
FLS,equity,,
IESC,equity,,
HALO,equity,,
HSBC,equity,,
KMX,equity,,
CG,equity,,
CLH,equity,,
IEX,equity,,
EVR,equity,,
IVZ,equity,,
UPST,equity,,
MKL,equity,,
BEN,equity,,
EQNR,equity,,
GMED,equity,,
CGNX,equity,,
TCOM,equity,,
LEU,equity,,
UDOW,equity,,
OC,equity,,
PKG,equity,,
AS,equity,,
CRBG,equity,,
EXEL,equity,,
RVTY,equity,,
CACI,equity,,
CROX,equity,,
WSO,equity,,
GTLB,equity,,
PFG,equity,,
WRB,equity,,
EG,equity,,
ACMR,equity,,
PCOR,equity,,
UCO,equity,,
AGI,equity,,
IWN,equity,,
SPTL,equity,,
CIBR,equity,,
BCS,equity,,
OIH,equity,,
TIGO,equity,,
TAP,equity,,
DAR,equity,,
HBM,equity,,
ELAN,equity,,
ESS,equity,,
SUI,equity,,
SWK,equity,,
NYT,equity,,
CINF,equity,,
MVLL,equity,,
AHR,equity,,
BAP,equity,,
BAM,equity,,
UCTT,equity,,
TKR,equity,,
SPXC,equity,,
PAYC,equity,,
QUBT,equity,,
MGK,equity,,
SCHH,equity,,
M,equity,,
NASA,equity,,
AAON,equity,,
ICLR,equity,,
WY,equity,,
CZR,equity,,
RH,equity,,
TWST,equity,,
PBF,equity,,
VOOG,equity,,
EQX,equity,,
ARW,equity,,
GFI,equity,,
RS,equity,,
ICLN,equity,,
IGSB,equity,,
TXT,equity,,
ERIC,equity,,
IRE,equity,,
SPYV,equity,,
SNY,equity,,
SNA,equity,,
SHAK,equity,,
PNW,equity,,
SIRI,equity,,
SPHQ,equity,,
COMP,equity,,
BRKR,equity,,
S,equity,,
AES,equity,,
AMZD,equity,,
BNO,equity,,
INOD,equity,,
UVIX,equity,,
CELC,equity,,
PRAX,equity,,
PNFP,equity,,
CGGR,equity,,
GKOS,equity,,
VMI,equity,,
TMF,equity,,
PBR-A,equity,,
RKLX,equity,,
SONY,equity,,
UNM,equity,,
KGS,equity,,
APGE,equity,,
IGIB,equity,,
HNGE,equity,,
PEN,equity,,
UUUU,equity,,
BOOT,equity,,
GRID,equity,,
ARKG,equity,,
WMS,equity,,
CM,equity,,
FLR,equity,,
CNH,equity,,
STLA,equity,,
RBA,equity,,
TTE,equity,,
MNDY,equity,,
CPT,equity,,
VFC,equity,,
ALGM,equity,,
TENB,equity,,
FBND,equity,,
SM,equity,,
VTIP,equity,,
AVY,equity,,
BMO,equity,,
RUN,equity,,
MYRG,equity,,
SCHE,equity,,
LABU,equity,,
CCK,equity,,
JLL,equity,,
RRC,equity,,
ACWX,equity,,
IWY,equity,,
QRVO,equity,,
AMBA,equity,,
ACM,equity,,
FER,equity,,
LYG,equity,,
TGTX,equity,,
MTCH,equity,,
BTCZ,equity,,
SOLV,equity,,
MOG-A,equity,,
SILJ,equity,,
REG,equity,,
BITX,equity,,
ESTC,equity,,
SCHV,equity,,
FBIN,equity,,
OSK,equity,,
SYNA,equity,,
APG,equity,,
BMRN,equity,,
AYI,equity,,
SAN,equity,,
DGRO,equity,,
BIV,equity,,
FRMI,equity,,
NWSA,equity,,
PULS,equity,,
FSLY,equity,,
DBX,equity,,
LQDA,equity,,
TXG,equity,,
AIZ,equity,,
WFRD,equity,,
KBE,equity,,
ORA,equity,,
RAL,equity,,
HSIC,equity,,
IDEV,equity,,
ZION,equity,,
SCZ,equity,,
WPC,equity,,
JEF,equity,,
LOGI,equity,,
IRDM,equity,,
OEF,equity,,
FHN,equity,,
ANF,equity,,
SARO,equity,,
GVA,equity,,
FRT,equity,,
NTES,equity,,
RNR,equity,,
VGLT,equity,USRATES_LONG,
GME,equity,,
KLIC,equity,,
KRYS,equity,,
KIM,equity,,
ACI,equity,,
URTH,equity,,
WH,equity,,
CENX,equity,,
IWP,equity,,
BBWI,equity,,
HRL,equity,,
GL,equity,,
AVT,equity,,
EWBC,equity,,
LGN,equity,,
CAKE,equity,,
AMPX,equity,,
BBJP,equity,,
HLI,equity,,
XPEV,equity,,
BILL,equity,,
LNTH,equity,,
UEC,equity,,
SDOW,equity,,
BIO,equity,,
AMZU,equity,,
SPEM,equity,,
KNSL,equity,,
LTH,equity,,
NDSN,equity,,
GGG,equity,,
DTM,equity,,
CR,equity,,
SCI,equity,,
METU,equity,,
LUMN,equity,,
VOYA,equity,,
SIL,equity,,
AOS,equity,,
ALSN,equity,,
ELS,equity,,
AAPD,equity,,
ONB,equity,,
WTS,equity,,
CTRE,equity,,
OHI,equity,,
SHAZ,equity,,
CNM,equity,,
SPMD,equity,,
PLNT,equity,,
AAP,equity,,
GLPI,equity,,
ENSG,equity,,
BOIL,equity,,
FIGR,equity,,
QTUM,equity,,
SPHY,equity,,
WHR,equity,,
QLYS,equity,,
TTAN,equity,,
R,equity,,
NOWL,equity,,
FLOT,equity,,
RCAT,equity,,
BSY,equity,,
IBP,equity,,
PYLD,equity,,
CHRD,equity,,
COKE,equity,,
XE,equity,,
HDV,equity,,
LBRT,equity,,
UBS,equity,,
SPHR,equity,,
PTCT,equity,,
SF,equity,,
BTG,equity,,
SYRE,equity,,
EHC,equity,,
ENS,equity,,
SKM,equity,,
LSTR,equity,,
FRO,equity,,
QGEN,equity,,
MANH,equity,,
SITE,equity,,
HXL,equity,,
AVS,equity,,
ONC,equity,,
CRUS,equity,,
MTN,equity,,
PDBC,equity,,
CHYM,equity,,
AVDE,equity,,
GSAT,equity,,
IUSG,equity,,
MTDR,equity,,
CAR,equity,,
AMG,equity,,
EWC,equity,,
TTEK,equity,,
EXP,equity,,
PTEN,equity,,
NAVN,equity,,
RYAN,equity,,
DFAC,equity,,
CHE,equity,,
RPM,equity,,
SYM,equity,,
L,equity,,
WEX,equity,,
STIP,equity,,
VXF,equity,,
ARCC,equity,,
JETS,equity,,
TVTX,equity,,
AVTR,equity,,
PFF,equity,,
RELX,equity,,
PAVE,equity,,
TM,equity,,
ALKS,equity,,
USD,equity,,
VDE,equity,,
MSM,equity,,
LABD,equity,,
ETHU,equity,,
AVLV,equity,,
FTEC,equity,,
CFR,equity,,
ALHC,equity,,
HRB,equity,,
GBTC,equity,,
UGL,equity,,
NEU,equity,,
CVLT,equity,,
LAD,equity,,
BXP,equity,,
SHLD,equity,,
HLN,equity,,
ST,equity,,
TPG,equity,,
TBIL,equity,,
LAMR,equity,,
MKTX,equity,,
PLTU,equity,,
CORT,equity,,
LCID,equity,,
SNEX,equity,,
ADC,equity,,
PVAL,equity,,
FNB,equity,,
ICHR,equity,,
SGOL,equity,,
TREX,equity,,
FDN,equity,,
DEO,equity,,
EFG,equity,,
VV,equity,,
BIRK,equity,,
VLY,equity,,
G,equity,,
CE,equity,,
FCFS,equity,,
UMBF,equity,,
LEA,equity,,
SSRM,equity,,
TDC,equity,,
VSEC,equity,,
VYMI,equity,,
GTX,equity,,
SCHP,equity,,
SPSB,equity,,
COLB,equity,,
PURR,equity,,
IAG,equity,,
SPSM,equity,,
IBRX,equity,,
ING,equity,,
AXTX,equity,,
EWW,equity,,
BINC,equity,,
CACC,equity,,
AIRR,equity,,
MLI,equity,,
USIG,equity,,
PSKY,equity,,
AEO,equity,,
ECG,equity,,
VOYG,equity,,
MHK,equity,,
FNDX,equity,,
IDCC,equity,,
BCE,equity,,
VBK,equity,,
JCPB,equity,,
WIX,equity,,
UMAC,equity,,
MIDD,equity,,
GFL,equity,,
KVYO,equity,,
AIT,equity,,
FRVO,equity,,
KLAR,equity,,
GPIQ,equity,,
CWB,equity,,
CRSP,equity,,
REXR,equity,,
BELFB,equity,,
ARE,equity,,
LECO,equity,,
ALM,equity,,
KEX,equity,,
DNTH,equity,,
TME,equity,,
CUBE,equity,,
WLK,equity,,
ALV,equity,,
HR,equity,,
RDVY,equity,,
BYD,equity,,
WRBY,equity,,
FAS,equity,,
CAMT,equity,,
BNTX,equity,,
NUGT,equity,,
JBS,equity,,
TLH,equity,,
ACLS,equity,,
MSGS,equity,,
QYLD,equity,,
INGR,equity,,
SVXY,equity,,
WTFC,equity,,
RYAAY,equity,,
LPX,equity,,
PLXS,equity,,
VAL,equity,,
FRPT,equity,,
TEX,equity,,
SEZL,equity,,
POST,equity,,
RGA,equity,,
PCTY,equity,,
KIE,equity,,
CMC,equity,,
TMDX,equity,,
NPO,equity,,
COCO,equity,,
EGP,equity,,
SQM,equity,,
MGA,equity,,
LMND,equity,,
BPOP,equity,,
URBN,equity,,
XP,equity,,
NEBX,equity,,
CHDN,equity,,
IAUM,equity,,
EMN,equity,,
AGCO,equity,,
SLAB,equity,,
BLLN,equity,,
HQY,equity,,
RELY,equity,,
COGT,equity,,
IWV,equity,,
TAN,equity,,
MORN,equity,,
VONV,equity,,
EGO,equity,,
ESE,equity,,
UNG,equity,NATGAS,
HTHT,equity,,
PVH,equity,,
YOU,equity,,
SSB,equity,,
NOVT,equity,,
NGG,equity,,
ZSL,equity,,
WAL,equity,,
MTRN,equity,,
DB,equity,,
MOAT,equity,,
NNN,equity,,
DOX,equity,,
PRMB,equity,,
BRX,equity,,
DOCS,equity,,
LKQ,equity,,
AMH,equity,,
AVDV,equity,,
LAZ,equity,,
HLNE,equity,,
EMBJ,equity,,
PAAA,equity,,
XMTR,equity,,
HRI,equity,,
LASR,equity,,
BFAM,equity,,
NBIL,equity,,
ACHC,equity,,
VUSB,equity,,
ULS,equity,,
PB,equity,,
LGND,equity,,
VVV,equity,,
MIRM,equity,,
ORKA,equity,,
REMX,equity,,
FNDF,equity,,
NWG,equity,,
ACA,equity,,
EXLS,equity,,
WEN,equity,,
YPF,equity,,
TNGX,equity,,
TFX,equity,,
SLS,equity,,
